clip_index,bvid,url,title,play_snapshot,duration_seconds,uploader,context_family,context_status,source_class,transcript_status,transcript_model,transcript_characters,segment_count,title_overclaim_signal,title_actionable_signal,title_high_medical_risk,transcript_overclaim_signal,transcript_actionable_signal,transcript_high_medical_risk,transcript_signal_scope,direct_quote_ready,evidence_rule,transcript_asset
11,BV1WY411Z72S,https://www.bilibili.com/video/BV1WY411Z72S/,强脾胃，就揉腹！,1005609,123,倪海厦讲养生,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
12,BV18v4y1B7zG,https://www.bilibili.com/video/BV18v4y1B7zG/,倪海厦：朝左睡，朝右睡，完全不同,955618,44,汉唐国学倪海厦,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
13,BV13yTczoE8d,https://www.bilibili.com/video/BV13yTczoE8d/,真正的古法已经流传到国外了？某国把麦粒灸搬到小学课堂,907162,13,中研太和,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
14,BV1rt4y1o7Pa,https://www.bilibili.com/video/BV1rt4y1o7Pa/,这种情况注定要结婚，逃不了,903598,65,羽羽的国学生活,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
15,BV1Ws4y1d7jc,https://www.bilibili.com/video/BV1Ws4y1d7jc/,倪海厦老师：你聪明还是笨，摸一下耳后就知道,886297,41,非常经道,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
16,BV1Se411m73V,https://www.bilibili.com/video/BV1Se411m73V/,原来真是婚姻天注定！,864011,64,倪师海厦哎,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
17,BV1sN411c751,https://www.bilibili.com/video/BV1sN411c751/,倪海厦：身上有炎症、瘀血、积块，这个穴位一按就疼,811882,68,黄帝内经技巧,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
18,BV14K421v7Yk,https://www.bilibili.com/video/BV14K421v7Yk/,倪海厦老师《五脏逼毒法》，赶紧马住！！学一学！,810119,37,好奇硕士,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
19,BV1WY4y1p7wp,https://www.bilibili.com/video/BV1WY4y1p7wp/,欲太过，必有祸！！！从面相可以识破天机,782451,161,经方传承,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
20,BV1RX4y1m7ab,https://www.bilibili.com/video/BV1RX4y1m7ab/,倪海厦：强健内脏，一个动作排尽体内老痰浓痰,745267,165,记录与传承,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
21,BV1we4y1v7bv,https://www.bilibili.com/video/BV1we4y1v7bv/,倪海厦教你，选一个好媳妇,739469,105,炳辰师兄国学笔记,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
22,BV1DnPGeQEFF,https://www.bilibili.com/video/BV1DnPGeQEFF/,推拿，能练就成这样，真是门功夫！,729242,20,中研太和,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
23,BV1Ps4y1K7Sj,https://www.bilibili.com/video/BV1Ps4y1K7Sj/,9成的人所不知道的蔗糖的用处,695166,117,娃古,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
24,BV1NV411u7a8,https://www.bilibili.com/video/BV1NV411u7a8/,倪师：减掉腹部赘肉，其实很简单,675065,48,倪海厦完整字幕版,伤寒论,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
25,BV1qH4y1r7cv,https://www.bilibili.com/video/BV1qH4y1r7cv/,倪海厦/张至顺：一滴精十滴血VS人减寿的根源,662657,258,师父倪海厦,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
26,BV1EY411j7yJ,https://www.bilibili.com/video/BV1EY411j7yJ/,倪海厦谈五十九岁大限,655187,484,中立道生,访谈/演讲,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
27,BV1od4y1K7DD,https://www.bilibili.com/video/BV1od4y1K7DD/,倪海厦：这个骨高的人，绝顶聪明,642960,94,昆达里尼唤醒,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
28,BV1G4421D7Ay,https://www.bilibili.com/video/BV1G4421D7Ay/,风水学民间斗法6：紫微斗数推命！孤城坐子都，无子女送终！,637981,154,午阳炎炎,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
29,BV1jz4y1P7SQ,https://www.bilibili.com/video/BV1jz4y1P7SQ/,有没有财气，从鼻子可以看出端倪,614650,101,倪海厦完整字幕版,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
30,BV1Ns4y1a7Cu,https://www.bilibili.com/video/BV1Ns4y1a7Cu/,倪海厦：好“邪淫”从脸上可以看出来！中医怎么看好色之徒？,598352,388,抱朴工作室官方,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
31,BV1Tu4y1a7X8,https://www.bilibili.com/video/BV1Tu4y1a7X8/,倪海厦：早上一个习惯，脾胃永远健康！！！,594688,119,自学感恩倪师,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
32,BV1gM411u7wx,https://www.bilibili.com/video/BV1gM411u7wx/,倪海厦数据库,591997,171,中医之家APP,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
33,BV1XZ421T7eg,https://www.bilibili.com/video/BV1XZ421T7eg/,倪海厦：一个动作排尽体内老痰浓痰,578681,170,守一同道,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
34,BV1d94y1M7Ps,https://www.bilibili.com/video/BV1d94y1M7Ps/,倪海厦：解决肝气郁结，效果奇佳,573019,86,倪师全集字幕版,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
35,BV1YX4y1Y7Nn,https://www.bilibili.com/video/BV1YX4y1Y7Nn/,好色之人，从面相就能看出来,562636,77,倪海厦完整字幕版,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
36,BV1eC4y1y7rk,https://www.bilibili.com/video/BV1eC4y1y7rk/,鬼门十三针,554511,374,鱼弄泥,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
37,BV13z42127iX,https://www.bilibili.com/video/BV13z42127iX/,古籍-天回医简&amp;扁鹊医书合集12本-成都出土竹简证实扁鹊真实存在,544916,30,叫我朱八八吧,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
38,BV18QFeeKEMQ,https://www.bilibili.com/video/BV18QFeeKEMQ/,倪海厦疑是泄露天机的一段话,534436,322,国学宝库,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
39,BV1XC41157op,https://www.bilibili.com/video/BV1XC41157op/,倪海厦：最好的早餐吃什么,531332,73,中医知识指导生活,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
40,BV1n14y177He,https://www.bilibili.com/video/BV1n14y177He/,倪海厦：要节制房事吗？兄弟,531113,49,倪海厦讲养生,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
41,BV1PF411Z7yc,https://www.bilibili.com/video/BV1PF411Z7yc/,放下助人情结，尊重他人命运，倪师不外传的一番话，受教了！,523410,138,倪师大讲堂,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
42,BV1wM4y127Xp,https://www.bilibili.com/video/BV1wM4y127Xp/,倪师永远不和浓眉的人来往,517816,49,国学传承倪海厦,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
43,BV1sG411A7sS,https://www.bilibili.com/video/BV1sG411A7sS/,倪海厦：结婚找对象，这种最合适,510892,52,炳辰师兄国学笔记,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
44,BV1Y94y1S7j8,https://www.bilibili.com/video/BV1Y94y1S7j8/,倪海厦弟子李宗恩07年对线马云史玉柱，马云全听进去了。,506772,493,买一口大锅,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
45,BV11J4m1j7XN,https://www.bilibili.com/video/BV11J4m1j7XN/,治女生的腹部赘肉，一个快速有效方法,505015,51,中国文化传承人,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
46,BV1St421A7zr,https://www.bilibili.com/video/BV1St421A7zr/,倪海厦：脾虚比肾虚更可怕，教你三招解决,504608,176,守一同道,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
47,BV1ro4y1j7Zs,https://www.bilibili.com/video/BV1ro4y1j7Zs/,不要对人太好，你会害了自己！-倪海厦,503462,129,老师倪海厦,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
48,BV1aK41157z1,https://www.bilibili.com/video/BV1aK41157z1/,"倪海厦之男子不锻炼,年近百岁,而能日御十女",502808,104,中立道生,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,False,False,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
49,BV1oS421d7pn,https://www.bilibili.com/video/BV1oS421d7pn/,倪海厦：湿气重，这个动作经常练，能快速祛除经络上的湿，简单易学很实用,502545,55,守一同道,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
50,BV1Hg411a74A,https://www.bilibili.com/video/BV1Hg411a74A/,中医大师倪海厦 一个穴位让你、无湿一身轻！(袪痰+导痰),501990,61,大头丸子猪,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,not_available_yet,,0,0,True,True,False,False,False,False,not_available,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,
51,BV1L2421K7bS,https://www.bilibili.com/video/BV1L2421K7bS/,倪师教你找合谷穴，女孩子常按越长越漂亮！,501630,49,守一同道,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,271,2,False,True,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
52,BV1sm41127pJ,https://www.bilibili.com/video/BV1sm41127pJ/,倪海厦：头发白是肾气不足，简单2味药让头发变黑,501503,64,守一同道,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,345,3,False,True,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
53,BV1254y1T7xn,https://www.bilibili.com/video/BV1254y1T7xn/,如何快速找到你的如意郎君，倪师亲传脱单法门,500875,227,致敬堂,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,773,88,True,False,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
54,BV1YK411e7JJ,https://www.bilibili.com/video/BV1YK411e7JJ/,倪师：这样的男人心太狠，千万不要嫁给他,500770,66,倪海厦完整字幕版,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,350,3,True,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
55,BV1Wg411S71v,https://www.bilibili.com/video/BV1Wg411S71v/,倪海厦的传奇一生，为何他能知道自己的大限在59岁？,500287,135,微人物纪实,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,571,6,False,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
56,BV1LWhnzjEKd,https://www.bilibili.com/video/BV1LWhnzjEKd/,别不信，视频让你眼见为实！,498206,11,中研太和,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,0,0,False,False,False,False,False,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
57,BV1wk4y1A7r4,https://www.bilibili.com/video/BV1wk4y1A7r4/,倪师：什么样的眉毛，是好眉毛,493525,84,倪师全集字幕版,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,311,6,False,False,False,False,False,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
58,BV1De411y7jk,https://www.bilibili.com/video/BV1De411y7jk/,倪海厦：让双眼明目，一个简单动作就能办到,493127,68,倪师全集字幕版,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,275,4,False,True,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
59,BV1V64y1w7XR,https://www.bilibili.com/video/BV1V64y1w7XR/,倪海厦，脾胃虚弱坚持这样做,489988,80,自学倪师天纪人纪,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,528,14,False,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
60,BV1gurnYXEYT,https://www.bilibili.com/video/BV1gurnYXEYT/,如何把脉(二)，教你成为脉象高手,486629,40,林大栋汉唐明师,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,177,2,False,False,False,False,False,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
61,BV1UzB2YjELV,https://www.bilibili.com/video/BV1UzB2YjELV/,湿气重，可以练这套动作，快速清除体内湿气和痰饮。强身健体不生病！,476140,473,倪海厦智慧,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,2160,26,True,True,False,True,True,True,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
62,BV1h24y1i7fX,https://www.bilibili.com/video/BV1h24y1i7fX/,鬼门十三针如今几乎无人敢用！十三鬼针多厉害、一般人经不住！一般在用的第七针？,475058,77,医道空决,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,113,2,False,True,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
63,BV1Qa4y1K7rL,https://www.bilibili.com/video/BV1Qa4y1K7rL/,有积水？教你一招,474314,98,娃古,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,349,3,True,False,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
64,BV1Mg411h7UJ,https://www.bilibili.com/video/BV1Mg411h7UJ/,日本是大便,464734,111,实用紫微斗数,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,480,9,False,False,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
65,BV15e411F7PV,https://www.bilibili.com/video/BV15e411F7PV/,倪海厦：这三种男人，不可以嫁,464174,88,炳辰师兄国学笔记,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,367,6,False,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
66,BV1M54y1F7uS,https://www.bilibili.com/video/BV1M54y1F7uS/,学中医之前 VS 学中医之后,462318,31,账号已注销,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,51,2,False,False,False,False,False,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
67,BV1ZK421t76E,https://www.bilibili.com/video/BV1ZK421t76E/,这种情况，命中注定要结婚,462107,65,倪海厦黄帝内经,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,314,3,True,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
68,BV13t421h7P1,https://www.bilibili.com/video/BV13t421h7P1/,倪海厦：倪师多次提到59岁大限，回想起来令人叹息,457553,63,一九中医资料库,原课待定位,待回溯原课,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,312,3,False,False,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
69,BV1Sr421F7Yi,https://www.bilibili.com/video/BV1Sr421F7Yi/,面相学案例2：大师说罗碧玲的婚姻感情超准！！！，说她一生男友无数，却没有一个丈夫,451162,103,午阳炎炎,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,568,14,False,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
70,BV1Rr4y1d7tV,https://www.bilibili.com/video/BV1Rr4y1d7tV/,传说中的回阳九针，向天借命半小时,446356,199,倪海厦完整字幕版,针灸,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,756,13,False,True,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
71,BV17z4y1e73x,https://www.bilibili.com/video/BV17z4y1e73x/,五分钟学会掐指一算，遇事不决，六壬决断。倪师教你占卜,440931,328,倪海厦中医讲堂,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,1831,22,False,False,False,True,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
72,BV1XN4y1a7bp,https://www.bilibili.com/video/BV1XN4y1a7bp/,倪海厦老师：男人有没有前途看脸就知道,431926,171,智慧国学堂,天纪,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,547,8,False,False,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
73,BV1QHsYePEE8,https://www.bilibili.com/video/BV1QHsYePEE8/,倪海厦：揉肚子——强脾最简单有效的方法！（学会方向很重要）,431502,82,励文图书,黄帝内经,已初分系列，待定位集数/时间戳,疑似原声/画面切片（待音画核验）,generated_asr_unreviewed,base,344,3,False,True,False,False,True,False,unreviewed_asr_keyword_screen,False,回听校正并回溯原课后方可作本人直接引文；标题只作传播包装证据。,internal_unpublished
